age_hhh,rcsi,plw,elderly,hh_size,disabilities ,ipc,sex_hhh,u5,sanitation,housing 
29.55354962,24,0,0,6,0,CEC,Female,2,Al aire libre,Vivienda de materiales de desecho
60.91301432,48,1,1,8,0,CEC,Female,1,Al aire libre,Vivienda de materiales de desecho
28.09164726,45,0,0,5,1,CEC,Female,2,Al aire libre,Vivienda de materiales de desecho
35.89456936,56,0,0,6,0,CEC,Female,1,Al aire libre,Vivienda de materiales de desecho
58.82410656,56,0,0,5,1,CEC,Male,1,Al aire libre,Vivienda de materiales de desecho
30.20529227,42,1,0,6,0,CEC,Female,1,No tiene servicio sanitario,Vivienda de materiales de desecho
30.42704047,39,0,0,6,0,CEC,Female,1,No tiene servicio sanitario,Vivienda de materiales de desecho
31.47283429,41,0,0,3,2,CEC,Male,1,Al aire libre,En la calle
44.06973006,34,0,0,4,1,CEC,Female,0,Inodoro conectado a alcantarillado,Vivienda propia (en material de ladrillo)
22.62421046,46,1,0,7,2,CEC,Female,3,Inodoro conectado a pozo séptico,Vivienda de materiales de desecho
28.79793566,36,1,0,6,0,CEC,Female,1,Inodoro conectado a pozo séptico,Vivienda de materiales de desecho
60.532528,32,0,1,4,0,CEC,Male,0,Inodoro conectado a alcantarillado,Otro
30.18056614,46,0,0,4,1,CEC,Female,0,Inodoro conectado a pozo séptico,Vivienda en arriendo (en material de ladrillo)
62.76156879,37,0,1,7,0,CEC,Male,1,Inodoro conectado a alcantarillado,Vivienda propia (en material de ladrillo)
68.91613689,44,0,1,3,1,CEC,Male,0,Inodoro sin conexión,Vivienda de materiales de desecho
39.71433812,31,1,0,4,1,CEC,Male,1,Inodoro sin conexión,Vivienda de materiales de desecho
40.26412868,44,1,0,4,1,CEC,Female,1,Inodoro sin conexión,Vivienda de materiales de desecho
45.23326762,47,0,0,3,0,CEC,Female,0,Inodoro conectado a alcantarillado,Vivienda en arriendo (en material de ladrillo)
27.2620118,56,0,0,2,0,CEC,Male,0,No tiene servicio sanitario,En la calle
65.52361435,39,0,1,5,1,CEC,Female,1,Letrina,Vivienda de materiales de desecho
42.46024825,50,0,0,5,0,CEC,Female,1,Inodoro conectado a alcantarillado,Otro
36.54391209,23,0,0,6,0,CEC,Female,1,No tiene servicio sanitario,Vivienda de materiales de desecho
66.07163024,31,1,1,6,2,CEC,Female,1,Inodoro conectado a alcantarillado,Vivienda de materiales de desecho
47.74998896,35,0,0,4,2,CEC,Female,1,Inodoro conectado a alcantarillado,Otro
31.9770808,56,1,0,4,4,CEC,Male,1,No tiene servicio sanitario,En la calle
55.48986721,49,1,0,6,0,CEC,Male,0,Inodoro conectado a alcantarillado,Vivienda en arriendo (en material de ladrillo)
26.34551761,32,0,0,1,0,CEC,Male,0,Inodoro conectado a alcantarillado,Vivienda en arriendo (en material de ladrillo)
21.81704095,29,0,0,2,0,CEC,Female,1,Inodoro conectado a alcantarillado,Otro
49.31580835,51,0,0,4,2,CEC,Female,0,Inodoro conectado a alcantarillado,Vivienda propia (en material de ladrillo)
26.29555647,45,1,0,5,1,CEC,Male,2,Inodoro sin conexión,Vivienda propia hecha con madera
38.5118768,22,0,0,4,1,CEC,Female,0,Inodoro conectado a alcantarillado,Vivienda propia (en material de ladrillo)
49.50712115,21,1,0,3,1,CEC,Female,1,Inodoro conectado a alcantarillado,Vivienda en arriendo (en material de ladrillo)
29.52738827,42,0,0,5,0,CEC,Female,0,No tiene servicio sanitario,Vivienda propia hecha con madera
31.68104038,46,1,0,5,0,CEC,Male,2,No tiene servicio sanitario,En un albergue improvisado
51.36861221,38,0,0,3,3,CEC,Female,0,Inodoro conectado a alcantarillado,Vivienda de materiales de desecho
